date	user	message	stream
2024-06-14 16:07:50 UTC	oJov	@1206paul_ man im sorry i saw it live but ill watch it just for u babygirl Flirt	41
2024-06-16 13:06:13 UTC	gribassow	Ye baby	43
2024-06-16 15:33:59 UTC	Martin_Gales	@kilmebaby i was thinking this was a @klimzaa fan account OMEGALUL	43
2024-06-18 13:38:53 UTC	Aurolaque	God damn, that must be Dr. Disrespect baby moustache formula... Anyways, back to lurking	45
2024-06-18 14:20:15 UTC	SeeMeNoMore_	you will sleep like a baby	45
2024-06-20 14:15:43 UTC	amaterasiuuuuuu	Cuz of baby lol	46
2024-06-20 16:04:58 UTC	v_warr10r	BabyRage BabyRage BabyRage BabyRage	46
2024-06-20 16:06:35 UTC	v_warr10r	This song is from a baby advertisement LuvPeekR	46
2024-06-22 15:19:54 UTC	OfficerMofiz	@TandeBoy not gonna spoil but Malenia is a baby compared to what I have faced so far. Kappa	47
2024-06-24 19:04:30 UTC	poopkhan	babypots	49
2024-07-01 14:56:26 UTC	ogskelett	BabyRage BabyRage dorozeaDoroMAD	52
2024-07-02 13:36:53 UTC	xXGenly_Top_AwpXx	doro remindes me of Da Baby	53
2024-07-03 14:15:20 UTC	balintboss	runs away BabyRage	54
2024-07-03 16:14:39 UTC	Limbus969	why? are you a baby cow or what ?	54
2024-07-04 13:15:24 UTC	ssr2803	Ronaldo crybaby	55
2024-07-04 13:46:37 UTC	gunieo	Ronaldo is a cry baby	55
2024-07-04 18:09:29 UTC	MrSupreme50	ghostrider baby	55
2024-07-06 12:56:20 UTC	sIyk26	@Martin_Gales mods ban the bsg BabyRage	56
2024-07-09 13:42:21 UTC	ErPardi	ok but when you have al settled  ship me some special socks (baby blue or pink my fav colors)	59
2024-07-12 12:44:17 UTC	balintboss	BabyRage why you retired cs ???	61
2024-07-12 12:45:21 UTC	artemis_cs2	hi baby	61
2024-07-13 16:47:50 UTC	hutsulcs	ice baby	62
2024-07-13 16:53:56 UTC	The_Astrum_Guardian	its baby doro	62
2024-07-13 17:34:00 UTC	TLK___	MOM BabyRage	62
2024-07-13 17:34:19 UTC	IvanOnMyOwn	mamaaaa BabyRage how do you turn on the oven	62
2024-07-13 17:34:26 UTC	h0tzo	mom how do i boil water BabyRage	62
2024-07-13 17:50:35 UTC	pewpewpew69_	She can babysit me	62
2024-07-13 18:10:28 UTC	pewpewpew69_	Baby don't hurt me	62
2024-07-13 18:10:48 UTC	pewpewpew69_	Baby don't e	62
2024-07-13 18:11:13 UTC	pewpewpew69_	Baby don't hurt me no more	62
2024-07-13 18:14:12 UTC	Typhu25	DaBaby song	62
2024-07-13 19:11:30 UTC	EdgyBug	opinion on baby driver	62
2024-07-13 19:11:35 UTC	firealexn	baby driver	62
2024-07-19 12:51:36 UTC	kecso1g	@h0uss11m hey baby	67
2024-07-21 13:40:42 UTC	Aloddin	Baby boomers and gen X were given everything, what are they gonna do aloddiMOMPLS	69
2024-07-21 15:56:18 UTC	klimzaa	whats up baby @Footstep_	69
2024-07-21 15:56:28 UTC	Martin_Gales	doro isnt baby shes an adult, silly chat :)	69
2024-07-21 17:49:45 UTC	ju1c3dr	GO CS2 baby	69
2024-07-21 17:52:28 UTC	lethalbonsai	kaisa got babysited by 4 ppl ofc	69
2024-07-23 18:02:59 UTC	Swoshticle	ice ice baby	71
2024-07-23 19:07:21 UTC	Typhu25	ice ice baby	71
2024-07-24 15:27:52 UTC	Typhu25	no way @mrbreast6000 killed a baby...	72
2024-07-24 15:32:35 UTC	Typhu25	SHE HAD A BABY WITH JIMMY OMEYES	72
2024-07-24 15:34:38 UTC	stanny781	link the guy shouting to baby toy	72
2024-07-24 15:35:21 UTC	stanny781	link the man shouting with the baby, she said only one thing could solve it	72
2024-07-24 15:35:27 UTC	stanny781	maybe it was a baby? NOWAYING	72
2024-07-24 15:36:14 UTC	balintboss	BabyRage	72
2024-07-24 15:36:37 UTC	sogood__	when did baby solve smth ?	72
2024-07-24 15:41:10 UTC	klimzaa	LL baby	72
2024-07-24 16:44:57 UTC	fyodor_m_d1821	such a baby lmao	72
2024-07-25 18:34:21 UTC	leoY000	Snake baby	73
2024-07-26 14:36:24 UTC	eckapxo	ice ice baby	74
2024-07-26 17:46:41 UTC	SausageInMyBunn	second place baby	74
2024-07-27 13:25:40 UTC	ShineAizeNnFPS	ShineAizeNnFPS gifted a Tier 1 sub to GotYouBaby! 	75
2024-07-29 13:22:00 UTC	wander486	KKona freedom baby	76
2024-07-30 13:32:27 UTC	savoryflyer22	all in baby	77
2024-07-30 14:05:27 UTC	ogskelett	BabyRage BabyRage BabyRage	77
2024-07-31 13:59:25 UTC	OreoLeSasquatch	poor baby boy	78
2024-07-31 14:00:14 UTC	riesenklotz	hes just a baby	78
2024-07-31 14:26:49 UTC	talmojo	your knee seems like a baby skull	78
2024-08-01 13:53:28 UTC	suuuuusq	hello my baby	79
2024-08-01 14:06:39 UTC	kaenveil	oh you talknig about fantastic baby	79
2024-08-02 17:39:41 UTC	Guala67	BabyRage	80
2024-08-02 18:58:03 UTC	brarsabh	but am just a baby	80
2024-08-03 13:36:35 UTC	andrei_kiss	faceit is full of crybabys	81
2024-08-04 12:35:55 UTC	Ekemehmet	hi baby	82
2024-08-04 15:27:03 UTC	johnson_berlin	Baby bacon, damn now I'm lowkey hungry LUL	82
2024-08-04 17:35:28 UTC	mentha2k	DAMN FASTEST HAND IN THE BEST BABYYYY	82
2024-08-04 17:42:38 UTC	Ravenbtw	BabyRage	82
2024-08-06 15:43:35 UTC	The_Astrum_Guardian	The_Astrum_Guardian subscribed with Prime. They've subscribed for 9 months! Baby Time	84
2024-08-07 12:34:00 UTC	Meofist	newborn baby streamer	85
2024-08-07 16:38:15 UTC	riesenklotz	woaah time for some baby making	85
2024-08-07 16:38:18 UTC	TriplesingleJ	baby mama	85
2024-08-08 12:12:16 UTC	abdulrahman52598	You look like homelander babysitter 😂	86
2024-08-08 14:33:56 UTC	astrologer_j	BIG baby	86
2024-08-08 14:59:31 UTC	S4SK____	come on baby light my fire	86
2024-08-20 17:43:11 UTC	x_ARTIFEX_x	@Aloddin tijuana baby	89
2024-08-21 12:04:48 UTC	Ravenbtw	erm what the baby gronk??	90
2024-08-21 15:19:24 UTC	1206paul_	bro is basically a baby NAHHH	90
2024-08-21 15:19:51 UTC	mentha2k	LITTLE GOO GOO GAA GAA BABYYY	90
2024-08-23 12:03:43 UTC	wander486	babysitter omE	92
2024-08-23 14:40:15 UTC	sekkiiroo	this scene made me cry like a baby	92
2024-08-24 11:53:03 UTC	KritzKast	Wow, I come back after months away and streamer is behaving like a Matterbaby	93
2024-08-24 12:39:22 UTC	midoumeister	odriscolls baby	93
2024-08-24 15:25:53 UTC	edefaste	BabyRage	93
2024-08-24 15:26:54 UTC	edefaste	BabyRage BabyRage BabyRage	93
2024-08-24 15:35:30 UTC	edefaste	BabyRage	93
2024-08-25 12:15:40 UTC	balintboss	I just hate Arthur died and Mitcah not BabyRage	94
2024-08-25 16:00:03 UTC	amk_ss	Hammy baby i domt see you in comms	94
2024-08-26 13:35:48 UTC	powenzo	mother mother I milked the cow and drank all the milk. Baby, we only have a bull DAESuppy :D	95
2024-08-26 14:38:10 UTC	acul260201	Make a baby	95
2024-08-26 16:48:29 UTC	keelew	BabyRage do this, do that	95
2024-08-27 12:41:07 UTC	IvanOnMyOwn	if doro gave me supreme power... oh baby ome5	96
2024-08-27 14:05:57 UTC	ifanbenmezda	@iiiiibaby no politics	96
2024-08-27 14:06:23 UTC	sunnyboysunset	@iiiiibaby Bc u Are anoying	96
2024-08-27 16:59:54 UTC	shehryar_khan2	10th babyyyyy	96
2024-08-27 17:04:18 UTC	shehryar_khan2	5th babyyyy	96
2024-08-28 12:39:01 UTC	MeLoveLSD	Yo no offense i thought you was like 25 sometimes i forget im an 04 baby	97
2024-08-30 12:18:58 UTC	xXmiss_emotional_GamerXx	ur such a baby ngl doro	98
2024-08-30 12:36:25 UTC	poggkys	Idk he has a baby face	98
2024-08-30 13:36:57 UTC	amirmasoud_2018	BabyRage eagle OMEGALUL	98
2024-08-30 14:10:01 UTC	muhamadt4	the pazzle is the tree leafs then the cow then the baby	98
2024-08-30 14:11:31 UTC	muhamadt4	the leafs then pig then baby	98
2024-08-30 14:44:17 UTC	rodrygerr	Why they named her baby eagle 😭	98
2024-08-30 14:44:58 UTC	amirmasoud_2018	omg baby eagle	98
2024-08-30 14:45:10 UTC	rodrygerr	Yup, she's Ashley aka the baby eagle	98
2024-08-30 14:51:29 UTC	mostafaaaa7	its a baby boy	98
2024-08-30 15:17:05 UTC	djang0o_	he is mad cause you kill the baby snake	98
2024-08-30 16:10:59 UTC	rodrygerr	Baby eagle 😭	98
2024-08-30 16:25:54 UTC	abdullakhanov	hi baby girl	98
2024-08-31 11:50:14 UTC	IbraheemR0	how are you baby	99
2024-08-31 12:40:45 UTC	mostafaaaa7	Calm down baby	99
2024-08-31 15:02:31 UTC	mostafaaaa7	what a name to be called baby eagle xd	99
2024-08-31 15:51:01 UTC	g0ingd0wn4real	just start working and give that baby everything it needs	99
2024-08-31 17:53:53 UTC	1206paul_	leon baby nooo :(	99
2024-09-01 13:03:57 UTC	klimzaa	baby in the wall SCHIZO	100
2024-09-01 13:04:17 UTC	mostafaaaa7	my baby ada	100
2024-09-01 13:43:48 UTC	Martin_Gales	dababy cant be killed ayo	100
2024-09-01 13:43:55 UTC	wastingmylife7	dababy MONKA	100
2024-09-02 13:43:41 UTC	sooulsteaaler	once u are in in this fk hell game u will never get out babyy	101
2024-09-02 16:19:30 UTC	ikiw007	Fucking fuck gooood joooob baby	101
2024-09-03 18:54:57 UTC	balintboss	Kill Steal BabyRage	102
2024-09-04 14:39:18 UTC	mbaskett95	you his baby mama though no?	103
2024-09-04 15:43:05 UTC	GavinsAwfulStream	I was a baby on a plane with my mom when 9/11 happened	103
2024-09-04 15:44:36 UTC	splash1228	1978 i’m old rich man i want to see u as my little baby 👄😌	103
2024-09-04 15:49:38 UTC	gs0028	if u play cs while pregnant will the baby be born as terrorist?	103
2024-09-05 12:35:54 UTC	YanesJuseAlvesCorrea	Marvel rivals could have a map's range pretty much like fortnite's map photokEstraladireita BabyRage photokEstraladireita DinoDance TheIlluminati	104
2024-09-05 14:12:29 UTC	fyodor_m_d1821	BabyRage	104
2024-09-06 12:48:34 UTC	sekasekas	doro viewers BabyRage	105
2024-09-06 12:53:27 UTC	Martin_Gales	the baby was already born	105
2024-09-06 12:53:48 UTC	Typhu25	Justin Bieber be like: baby baby baby ohhh typhu2OMEGADANCE	105
2024-09-06 12:54:14 UTC	otakich_04	Baby its like shit	105
2024-09-06 12:55:42 UTC	sekasekas	dont talk about my baby father like that trizzePreg	105
2024-09-06 12:57:55 UTC	rodrygerr	Baby's Justin Bieber song tormented me for years 😭	105
2024-09-06 14:03:51 UTC	TheDoctorFlash	it's baby sick	105
2024-09-06 14:28:47 UTC	razorback203	Looks like a baby chicken	105
